category,sku,price,name,description,image
snacks,CON-1,2.5,Cadbury Dairy Milk Bar,50g,1.jpg
snacks,CON-2,2.5,Eclipse Chewy Mints,Spearmint,2.jpg
snacks,CON-3,3,Extra Chewing Gum Spearmint,14pc Spearmint,3.jpg
snacks,CON-4,3,Extra Chewing Gum Pepermint,14pc Peppermint,4.jpg
snacks,CON-5,3,JC Energy Nut Mix,45g,5.jpg
snacks,CON-6,5,Bounce Energy Ball,40g Coconut Macadamia,6.jpg
snacks,CON-7,5,Shine+ Energy Shot,110ml Healthy Energy for your brain,7.jpg
snacks,CON-8,2,Mount Franklin Bottled Water,500ml Sourced from Australian Springs,8.jpg
samples,FS-1,0,Barista Bros Toffee Almond Panna Cotta,,9.jpg
samples,FS-2,0,Ella Bache SPF50+ SportsBloc Active,,10.jpg
electronics,ELE-1,20,Wired Headphones,Stereo headphones inc. microphone,11.jpg
electronics,ELE-2,15,Emergency Phone Charger,Phone battery charge for 8hrs - disposable,12.jpg
personal,PCR-1,4,Hero Condoms,2 pack regular,13.jpg
personal,PCR-2,2,Sorbent Tissues Carry Pack,10 4ply sheets,14.jpg
personal,PCR-3,5,Lucas Papaw Ointment 15g,A topical ointment to relieve and cleanse,15.jpg
personal,PCR-4,5,Lynx Africa Body Spray,Lynx's best selling body spray 30g,16.jpg
personal,PCR-5,3,Hair Essentials Kit,3x hair clips 3x bobby pins 3x hair ties,17.jpg
